name,state,description,tags
Research Fellowship In Sciences For Meritorious Students,Ministry of Education,The Research Fellowship in Sciences for meritorious students (RFSMS) scheme of the UGC is open to candidates who have registered for Ph.D. in Science in Universities with Potential for Excellence/Centres with Potential for Excellence/Centres of Advance Studies and Department of Special Assistance.,"['Fellowship', 'Research', 'Student']"
Savitribai Jyotirao Phule Fellowship For Single Girl Child,Ministry of Education,"Savitribai Jyotirao Phule Fellowship for Single Girl Child (SJSGC) is a Fellowship Scheme by the University Grants Commission (UGC), Department of Higher Education, for pursuing research work leading to the award of a Ph.D. degree. The target group of this scheme is the ‘single girl child'.","['Fellowship', 'Girl Child', 'Ph.D.']"
ICAR Junior Research Fellowship For Post-Graduate Studies In Agricultural Sciences,Ministry Of Agriculture and Farmers Welfare,"ICAR awards a certain number of Junior Research Fellowships for Postgraduate Studies (course and research work) leading to a Master’s degree, in different disciplines of agriculture and allied sciences. This is done to encourage talented students to undertake higher agricultural education.","['Agricultural Education', 'Agricultural Science', 'Agriculture', 'Fellowship', 'Post-graduate', 'Research']"
ICAR Senior Research Fellowship For Post-Graduate Studies In Agricultural Sciences,Ministry Of Agriculture and Farmers Welfare,"ICAR awards a certain number of Senior Research Fellowships for Ph.D. in an Agricultural University (AU), in different disciplines of agriculture and allied sciences. This is done to encourage talented students to undertake higher agricultural education.","['Agriculture', 'Fellowship', 'Research']"
Emeritus Fellowship,Ministry of Education,A fellowship scheme by University Grants Commission to provide an opportunity to superannuated teachers to pursue active research in their respective field of specialization in Indian Universities/Colleges/ Institutions.,"['Fellowship', 'Research & Teaching', 'Teacher']"
Netaji Subhas - ICAR International Fellowship,Ministry Of Agriculture and Farmers Welfare,"Introduced in 2009-10, the “Netaji Subhas - ICAR International Fellowship” is a scheme by to develop competent human resource that are trained in the identified best laboratories in the world (for Indian candidates) and similarly expose overseas candidates to the best Agriculture Universities.","['Agriculture', 'Fellowship']"
ICAR Emeritus Scientist,Ministry Of Agriculture and Farmers Welfare,"The ICAR Emeritus Scientist Scheme is a structural method of tapping the Brain and skill bank of the outstanding superannuated professionals of NARS by allowing them to complete the work in hand for its fruitful conclusion, and utilize their talent in teaching specialized courses.","['Emeritus', 'Retirement', 'Scientist']"
ICAR Junior Research Fellowship For Post-Graduate Studies In Agricultural Sciences,Ministry Of Agriculture and Farmers Welfare,"ICAR awards a certain number of Junior Research Fellowships for Postgraduate Studies (course and research work) leading to a Master’s degree, in different disciplines of agriculture and allied sciences. This is done to encourage talented students to undertake higher agricultural education.","['Agricultural Education', 'Agricultural Science', 'Agriculture', 'Fellowship', 'Post-graduate', 'Research']"
ICAR Senior Research Fellowship For Post-Graduate Studies In Agricultural Sciences,Ministry Of Agriculture and Farmers Welfare,"ICAR awards a certain number of Senior Research Fellowships for Ph.D. in an Agricultural University (AU), in different disciplines of agriculture and allied sciences. This is done to encourage talented students to undertake higher agricultural education.","['Agriculture', 'Fellowship', 'Research']"
Pre-Matric Scholarship,Ministry Of Social Justice and Empowerment,The scholarship is designed to provide OBC students with the necessary financial resources studying at pre-matriculation stage to enable them to complete their education.,"['Education', 'Financial Assistance', 'Student Welfare']"
Internship Programme By The Ministry Of External Affairs,Ministry Of External Affairs,The Ministry of External Affairs launched the first edition of the Internship Programme in 2022. The internship policy aims to take foreign policy closer to the people. A total of 75 internships will be offered in the year 2022 in a single term of three months during April to June 2022.,['Internship']
Kalpana Chawla Chatravriti Yojana,Himachal Pradesh,"Launched in 2012-13 by the Govt. of Himachal Pradesh, the ""Kalpana Chawla Chatravriti Yojana"" is a scholarship scheme that provides financial assistance to girls from economically weaker sections to pursue higher education without any financial burden, and achieve their career goals.","['Post Matric', 'Postgraduate', 'Scholarship', 'Undergraduate']"
Post Matric Scholarship Scheme For The Students Belonging To Scheduled Tribe For Studies In India,Ministry Of Tribal Affairs,"This is a centrally sponsored scheme by the Ministry of Tribal Affairs, for the students of Scheduled Tribe (ST) for studies in India. This scheme is for pursuing higher education starting from class XI to Post Graduation courses in India.","['Education', 'Post Matric', 'Scheduled Tribe Students', 'Scholarship', 'Study']"
Pradhan Mantri Dakshta Aur Kushalta Sampann Hitgrahi (PM-DAKSH),Ministry Of Social Justice and Empowerment,"The scheme ""PM-DAKSH"", launched by the Ministry of Social Justice & Empowerment (MoSJ&E), aims to empower socially, educationally, and economically marginalized groups like SCs, OBCs, EWS, DNTs, Safai Mitras, and Waste Pickers by enhancing their skills through high-quality training.","['Economically Weaker Section', 'Employment', 'Other Backward Class', 'Scheduled Caste', 'Skill', 'Stipend', 'Training']"
Udyogini Scheme,Karnataka,"Udyogini is an innovative scheme to assist women in gaining self-reliance and economic independence through self-employment, mainly through trade and the service sector. It also provides for a subsidy on loans for undertaking business activities/ micro enterprises through banks, etc.","['Citizen Empowerment', 'Entrepreneurship', 'Loan', 'Social Welfare', 'Subsidy', 'Women']"
Modular Employable Skills,Himachal Pradesh,The SDIS is a government initiative for improving employability through vocational training. It's a partnership between government and industry to provide skills development programs for early school dropouts and workers in unorganized sector.,"['Employable Skills', 'Modular Employable Skills', 'Skill Development Initiative Scheme', 'Technical Training', 'Vocational Training']"
Scholarship For Cadets Of Sainik School Imphal,Mizoram,"The objective of the Scheme is to provide financial assistance to Mizo students permanently
residing in the States of studying at Sainik School Imphal, to enable them to qualify and joint National Defence Academy and further to the Armed Forces.","['Direct Benefit Transfer', 'Financial Assistance', 'Sainik School', 'Sainik School Imphal', 'Scholarship']"
Shrama Shakthi Scheme,Karnataka,"Under the Shrama Shakthi Loan scheme, religious minority community entrepreneurs will be trained in artistic and technical skills and will be provided a loan of ₹50,000/- with a 4% rate of interest, to be paid in 36 installments.","['Artisans', 'Government Scheme For Minorities', 'Karnataka', 'Loan', 'Minority']"
Skilled Youth Startup Scheme,Sikkim,Sikkim Skilled Youth Startup Scheme was launched in 2020 and is implemented by the Department of Commerce & Industries which aims at assisting the educated unemployed youth in setting up a myriad of enterprises through loans with back-ended financial subsidy assistance.,"['Business', 'Employment', 'Entrepreneurship', 'StartUp', 'Youth']"
Old Age Samman Allowance,Haryana,"""Old Age Samman Allowance"" is a social security scheme implemented by the Department of Social Justice and Empowerment, Government of Haryana. The scheme provides a pension of ₹ 3000/month to senior citizens (60 years of age or older) who are unable to sustain themselves with their own resource","['Financial Assistance', 'Old Age', 'Pension', 'Senior Citizen', 'Social Security', 'Social Welfare']"
Rajasthan Chief Minister's Relief Fund - Medical Help,Rajasthan,Rajasthan Chief Minister’s Relief Fund – medical help scheme launched on April 1999 under Chief Minister’s Relief Fund in Rajasthan for Individual for Non BPL whose family income should be at least 2lakhs per annum.,"['Hospital', 'Medical Help', 'Non BPL', 'Rajasthan Scheme', 'Relief Fund']"
Krishak Bakri Palan Yojna,Himachal Pradesh,"The Department of Animal Husbandry, Government of Himachal Pradesh has introduced a scheme named ""Krishak Bakri Palan Yojna"" with the aim to increase income generation opportunities for economically weaker segments of the society as well as to increase meat production.","['Animal Husbandry', 'Financial Assistance', 'Goat Farming Scheme', 'Rural Development']"
Mukhyamantri Mahila Utkarsh Yojana,Gujarat,Mukhyamantri Mahila Utkarsh Yojana is a scheme launched by the Government of Gujarat to empower women in the state. The scheme aims to provide financial assistance to women entrepreneurs and to promote their entrepreneurial spirit.,"['Mahila', 'Mukhyamantri', 'Utkarsh Yojana']"
Integrated Child Development Services Scheme,Nagaland,"In Nagaland, the ICDS programme was launched in the year 1975 in the Jalukie block of Peren district with 50 Anganwadi centres. The programme has since grown and at present, there are 60 (sixty) ICDS projects in 11 (Eleven) districts of the State.","['Integrated Child Development Services', 'Nagaland']"
Destitute Widow Pension Scheme - Uttarakhand,Uttarakhand,"Under this scheme, a monthly pension of ₹1,500/- is provided to widows whose family income does not exceed ₹4,000/- per month or who belong to the BPL category, and who are not receiving any other pension benefits.","['BPL', 'Destitute', 'Pension', 'Widow']"
Assam Abhinandan Education Loan Subsidy Scheme,Assam,"""Assam Abhinandan Education Loan Subsidy Scheme"" was launched on 26 December 2019 by the Hon'ble Chief Minister of Assam. The scheme is managed by the Finance Department, Govt. of Assam. The govt. will provide a loan subsidy of up to ₹ 50,000 on education loans to students pursuing higher education.","['Education', 'Loan', 'Student']"
Aamar Dukan On Wheels,Assam,The Assam Government proposes to introduce a new module of “Aamar Dukan” namely “AAMAR DUKAN ON WHEELS” in the same line as the existing ‘Aamar Dukan’ on 22.02.2017.,"['Aamar Dukan', 'Business', 'Startup', 'Wheels']"
Chikitsa Pratipoorti Yojana,Jharkhand,"""Chikitsa Pratipoorti Yojana"" is a scheme by the Department of Labour, Employment, Training & Skill Development Govt of Jharkhand. The scheme provides financial assistance to the Registered Workers for the treatment of serious illnesses (cancer, heart disease, kidney disease, etc.","['Construction Worker', 'Disease', 'Financial Assistance', 'Health']"
Mukhyamantri Udeeyman Khiladi Unnayan Chhatravriti Yojana,Uttarakhand,"The scheme aims to promote sports among talented children aged 8 to 14 years in Uttarakhand by providing a monthly scholarship of ₹1,500. Players in this age group are selected every year on the basis of Physical & Sports Aptitude Test (P-SAT), with 150 boys & 150 girls selected from each district.","['Player', 'Scholarship', 'Sports', 'Sportsperson']"
NEC Stipend And Book Grant Scheme,Nagaland,This scholarship scheme is offered to the students pursuing higher professional courses and belongs to ST and general category. Only Nagaland domiciled candidates will be eligible to apply for this scheme.,"['Book Grant', 'Fellowship', 'Nagaland', 'NEC Stipend']"
Chief Minister’s Health Insurance Scheme - Nagaland,Nagaland,"Launched on 16th October 2022, the scheme ""Chief Minister Health Insurance Scheme (CMHIS)"" is a Public Health Insurance Scheme by the Health and Family Welfare Department, Government of Nagaland. This scheme provides cashless treatment up to ₹20 lakhs for employees and pensioners and ₹5 lakhs.","['Affordable Health Insurance', 'Cashless Health Insurance', 'Health Coverage', 'Health Insurance', 'Nagaland', 'Nagaland Government Health Insurance']"
Stipend To Students Studying at Govt. Hindi Institute Dimapur,Nagaland,"The scheme aims to provide financial support to students enrolled at the Government Hindi Institute, Dimapur. Under this scheme, a monthly stipend of ₹400/- is given to student every year from the allocated scholarship fund provided by the State Government.","['Hindi', 'Scholarship', 'Stipend', 'Student']"
Chief Ministergi Artistesinggi Tengbang (CMAT): Support For Purchase Of Instruments / Equipment,Manipur,"The scheme ""CMAT: Support for Purchase of Instruments / Equipment"" aims to support many talented students and budding artistes, who are economically well but in need of instruments/equipment for their learning and performance purpose to help them groom towards professionalism.","['Artist', 'Culture', 'Financial Assistance', 'Student']"
Higher Education And Skill Development Guarantee Scheme,Delhi,"The Higher Education and Skill Development Guarantee Scheme Government of NCT of Delhi , has envisaged a Higher Education and Skill Development Guarantee Scheme for students who wish to pursue diploma or degree level courses or specified skill development courses in Delhi.","['Financial Assistance', 'Guarantee Scheme', 'Higher Education And', 'Skill Development']"
Delhi Arogya Kosh,Delhi,"""Delhi Arogya Kosh” (DAK) provides Financial assistance to needy eligible patients for treatment of any illness/treatment/intervention required by the patient undergoing treatment in a Government Hospital run by Delhi Government or Central Government or Autonomous Hospital under the State Government","['Arogya Kosh', 'Delhi', 'Family Health', 'Financial Assistance']"
Merit Cum Means Linked Financial Assistance Scheme,Delhi,"It is the policy of the Government of National Capital Territory of Delhi that students get access to high quality higher education provided by Delhi State Universities irrespective of their caste, creed, economic background, or gender.","['Delhi', 'Education', 'Linked Financial Assistance', 'Merit Cum Means']"
Destitute Widow Pension Scheme - Uttarakhand,Uttarakhand,"Under this scheme, a monthly pension of ₹1,500/- is provided to widows whose family income does not exceed ₹4,000/- per month or who belong to the BPL category, and who are not receiving any other pension benefits.","['BPL', 'Destitute', 'Pension', 'Widow']"
Old Age Pension Scheme - Uttarakhand,Uttarakhand,"Under this scheme, a monthly pension of ₹1,500/- is provided to senior citizens (both husband and wife) in the state who are 60 years of age or above and whose family’s monthly income is up to ₹4,000/- or who belong to the BPL category.","['BPL', 'Old Age', 'Pension', 'Senior Citizen']"
Dr. Ambedkar Medhavi Chattar Sansodhit Yojna,Haryana,"This scheme is being implemented to encourage the merit amongst the students of Scheduled Castes, Backward Classes, Nomadic, DNTs, Semi-Nomadic, Vimukt Jaati and Tapriwas Jaati and to produce a feeling of competition amongst them and motivate them to earn more and more marks from the middle to post.","['Education', 'Financial Assistance,', 'Parity Among Students', 'Social Welfare', 'The Scheme Of Masses']"
Rajasthan Chief Minister's Relief Fund - Medical Help,Rajasthan,Rajasthan Chief Minister’s Relief Fund – medical help scheme launched on April 1999 under Chief Minister’s Relief Fund in Rajasthan for Individual for Non BPL whose family income should be at least 2lakhs per annum.,"['Hospital', 'Medical Help', 'Non BPL', 'Rajasthan Scheme', 'Relief Fund']"
Kanyashree Prakalpa,West Bengal,"The scheme to improve the status and wellbeing of girls, specifically those from socio-economically disadvantaged families, through Conditional Cash Transfers by: Incentivising them to continue in education for a longer period of time, and complete secondary or higher secondary education.","['Child Marriage Prevention', 'Education', 'Girl', 'Grants For Higher Education', 'Scholarship', 'Vocational Training']"
Pathani Samanta Mathematics Talent (Class - 11 To 12),Odisha,"The scheme “Pathani Samanta Mathematics Talent (Class - 11 to 12)” was started by the Department of School & Mass Education, Government of Odisha to provide financial assistance to the meritorious Higher Secondary School Students of Odisha having proficiency in Mathematics.","['Direct Benefit Transfer', 'Financial Assistance', 'Mathematics', 'Scholarship', 'Students']"
Homes For Intellectually Impaired Persons,Maharashtra,"The ""Homes for Intellectually Impaired Persons"" is a scheme by the Department of Social Justice & Special Assistance, Govt. of Maharashtra. In this scheme, Mentally Deficient Children who are in need of care and protection are admitted into shelter homes through the Child Welfare Committees.","['Child', 'Person With Disability', 'Shelter', 'Social Justice']"
Merit Awards,Maharashtra,"In the ""Merit Awards"" scheme, awards are given to the students with disability who rank 1st, 2nd, and 3rd among disabled students in the Secondary School Certificate (S.S.C.) and Higher Secondary Certificate (H.S.C.)  in their respective divisional boards of education.","['Award', 'Education', 'School', 'Student With Disability']"
Post-Matric Scholarship To VJNT Students - Maharashtra,Maharashtra,The Government of Maharashtra has introduced a scheme namely “Post-Matric Scholarship to VJNT students” to encourage the students of the Vimukta Jatis & Nomadic Tribes (VJNT) to undergo Post-Matric Courses.,"['Post-Matric', 'Scholarship', 'Student', 'Vimukta Jatis & Nomadic Tribes']"
The Scheme Of State Award For Disabled,Maharashtra,"The ""The Scheme of State Award for Disabled"" is a scheme by the Dept. of Social Justice & Special Assistance, Govt. of Maharashtra. In this scheme, every year, the State Government felicitates awards to the Best Disabled Employees/Employers/Placement Agencies who have done outstanding work.","['Award', 'Employment', 'Persons With Disability', 'Placement']"
Mukhyamantri Yuba Yogayog Yojana-Special,Tripura,The scheme aims to digitally empower students and help them leverage the advantages of an interconnected world.,"['Degree Grant', 'Mobile', 'Scholarship', 'Smart Phone', 'Student']"
Unemployment Allowance Scheme,Himachal Pradesh,"The Department of Labour and Employment, Government of Himachal Pradesh introduced Unemployment Allowance Scheme to provide allowance to eligible educated unemployed youth of Himachal, to enable them to sustain themselves for a certain period.","['Allowance', 'Employment Exchange', 'Unemployed Youth']"
Opening And Running Junior Colleges For VJNT Students Run By Voluntary Agencies,Maharashtra,The Govt. of Maharashtra vide G.R. dated 26/6/2008 launched the scheme “Opening and Running Junior Colleges for VJNT Students Run by Voluntary Agencies” for the educational and social development of Vimukta Jatis and Nomadic Tribes (VJNT) students.,"['Ashram School', 'Education', 'Junior College', 'Student', 'Vimukta Jatis And Nomadic Tribes']"
LIDCOM Gattai Stall Scheme,Maharashtra,"Being implemented by LIDCOM, Govt. of Maharashtra for the Roadsides Cobblers from the (Scheduled Caste) Charmakar Community, this scheme provides a 100% subsidy for the erection of a Tin Stall of Size 4’ x 5’ x 6.5’ costing ₹16367/- per stall and ₹500/- incidental charges.","['Banking', 'Business', 'Entrepreneurship', 'Scheduled Caste', 'Subsidy']"
Mukhya Mantri Krishi Sa Sajuli Yozana - Assam,Assam,The scheme “Mukhya Mantri Krishi Sa Sajuli Yojana” is a State Owned Priority Development (SOPD) scheme for farmers launched by the Assam government in FY 2018-19.  The main purpose of launching this scheme for farmers is their holistic development by implementing several farm mechanization schemes.,"['Agriculture', 'Direct Benefit Transfer', 'Farm Tools', 'Farmer', 'Financial Assistance']"
Indira Gandhi National Old Age Pension Scheme - Sikkim,Sikkim,"The scheme “Indira Gandhi National Old Age Pension Scheme (IGNOAPS)” was started by the Department of Women & Child Welfare, Govt. of Sikkim in 2014. Under this scheme, a pension is provided to elderly citizens above the age of 60 years belonging to the Below Poverty Line (BPL) category.","['Below Poverty Line', 'Direct Benefit Transfer', 'Old Age', 'Pension']"
Sikkim Grant Of Award To Transgender,Sikkim,"The scheme “Sikkim Grant of Award To Transgender (SGATT)” was launched in 2013 by the Department of Women & Child Welfare, Govt. of Sikkim. Under this scheme, the state government provides financial assistance to transgender belonging to a household of the Below Poverty Line category.","['Below Poverty Line', 'Direct Benefit Transfer', 'Financial Assistance', 'Free Education', 'Transgender']"
Industrial Skill Development Allowance To The New Employees Employed In Industries In H.p,Himachal Pradesh,"The Industrial Skill Development Allowance scheme, as announced in the Budget Speech of the Hon'ble Chief Minister for the Financial Year 2018-19, aims to provide financial assistance to eligible individuals employed in industries in Himachal Pradesh for their on-the-job skill upgradation","['Allowance', 'Skill', 'Training', 'Youth']"
State Post-metric Scholarship For Disabled,Maharashtra,"The ""State Post-metric Scholarship for Disabled"" is a scheme by the Department of Social Justice & Special Assistance, Govt. of Maharashtra. The objective of this scheme is to encourage students with disability (SwDs) to pursue higher education.","['Financial Assistance', 'Persons With Disability', 'Post-Matric', 'Scholarship', 'Social Welfare', 'Student']"
Transgender Pension Scheme,Himachal Pradesh,The Transgender Pension Scheme is a welfare initiative launched by the Government of Himachal Pradesh for the upliftment and support of transgender persons.,"['DBT', 'Financial Assistance', 'Pension Scheme', 'Transgender']"
Interest Subvention Scheme For Housing Loan For Regular State Government Employee Under APUN GHAR,Assam,"Apun Ghar is a new home loan scheme for Assam Government employees as per announcement made in the Budget Speech,2016-2017 under which home loans will be provided to the State Government employees at subsidized interest rates.","['Insurance', 'Interest Subvention', 'Loan', 'State Government Employee']"
Cash Award (APB&OCWWB),Arunachal Pradesh,"The scheme “Cash Award” was started by the Department of Labour and Employment, Govt. of Arunachal Pradesh for the registered workers of Arunachal Pradesh Building & Other Construction Workers Welfare Board (APB&OCWWB).","['Cash', 'Children', 'Construction Worker', 'Examination', 'Marks']"
Exposure Visits To The Assam Legislative Assembly,Assam,The Exposure Visits to the Assam Legislative Assembly scheme was introduced in the budget speech during the first Budget Session in July 2016. It aims to provide an opportunity for Political Science students in Assam to visit and observe the functioning of the Assam Legislative Assembly.,"['10th', '12th', 'Assam Legislative Assembly', 'Learning', 'Student Visits']"
Interest Subvention Scheme For Housing Loan For Regular State Government Employee Under APUN GHAR,Assam,"Apun Ghar is a new home loan scheme for Assam Government employees as per announcement made in the Budget Speech,2016-2017 under which home loans will be provided to the State Government employees at subsidized interest rates.","['Insurance', 'Interest Subvention', 'Loan', 'State Government Employee']"
Medical Assistance (APB&OCWWB),Arunachal Pradesh,"The scheme “Medical Assistance” was started by the Department of Labour and Employment, Govt. of Arunachal Pradesh for the registered workers of Arunachal Pradesh Building & Other Construction Workers Welfare Board (APB&OCWWB).","['Accident', 'Construction Worker', 'Disease', 'Financial Assistance', 'Medical Assistance']"
Saraswati Cycle Yojana,Chhattisgarh,"Chhattisgarh Saraswati Cycle Yojana has been started by the Government of Chhattisgarh in 2004. 
Saraswati Cycle Yojana is being operated by the Department of School Education, Government of Chhattisgarh.","['Girl Education', 'Student', 'Transportation Facilities']"
Chief Minister’s Free Cancer Chemotherapy Scheme,Arunachal Pradesh,"The scheme “Chief Minister’s Free Cancer Chemotherapy Scheme” was launched by the Department of Health & Family Welfare, Government of Arunachal Pradesh on 1st August 2017 to tackle the growing incidences of cancer in the state.","['Cancer', 'Chemotherapy', 'Medicine', 'Patients']"
Residential School For Blinds,Jammu and Kashmir,"The ""Residential School for Blinds"" have been established by the Social Welfare Department, Govt. of Jammu and Kashmir for the protection, welfare, and education of the Blind. The school is located at Roop Nagar, near Fire Brigade Office, Muthi, Jammu, 180013. The intake capacity is 50 inmates.","['Blind', 'Child', 'Person With Disability', 'School', 'Shelter']"
Pratibha Kiran Scholarship,Madhya Pradesh,"Pratibha Kiran Scholarship has been launched by the Government of Madhya Pradesh. Through this scheme, scholarship will be provided every year to girl students living below the poverty line.","['BPL Girl Student', 'FINANCIAL ASSISTANCE', 'HIGHER EDUCATION', 'SCHOLARSHIP']"
Madilu Kit,Karnataka,"The Madilu Programme is a government initiative focused on empowering rural communities through skill development and entrepreneurship opportunities.
It aims to create sustainable livelihoods, reduce poverty, and enhance social and economic well-being in rural areas.","['Entrepreneurship', 'Livelihoods', 'Poverty Reduction', 'Skill Development']"
Community Canning & Training On Fruit Preservation,Assam,"The office of the Deputy Director of Agriculture (Fruit Preservation) Assam was
created in 1978, under the Directorate of Agriculture and in 2008 it was transferred to the Directorate of Horticulture and Food Processing.","['Community Canning', 'Fruit Preservation', 'Training']"
National Awards For Outstanding Services In The Field Of Prevention Of Alcoholism And Substance (Drug) Abuse: Best Educational Institution Doing Outstanding Work In Awareness Generation And Prevention Of Alcoholism And Substance (Drug) Abuse,Ministry Of Social Justice and Empowerment,"The Scheme of ""National Awards for Outstanding Services in the field of Prevention of Alcoholism and Substance (Drug) Abuse"" by the MoSJE, GoI shall be applicable to Institutions and Individuals working in the field of Prevention of Alcoholism and Substance (Drug) Abuse.","['Alcoholism', 'Award', 'Drug Abuse', 'Rehabilitation']"
Shaikshanik Chatravriti Yojana,Madhya Pradesh,"Under MP Shram Kalyan Shaikshanik Chatravriti Yojana, scholarships will be provided to the students in the state to continue their education.","['Financial Assistance', 'Student Education', 'Support Economic Conditions']"
Pratyasha Scheme- West Bengal,West Bengal,The Government of West Bengal has undertaken a housing project scheme named ” PRATYASHA” for Police Personnel (from Inspectors to Constables) working in the West Bengal Police to materialize their dreams of owning houses.,"['Financial Assistance', 'Flats', 'House', 'Housing Assistance', 'Police']"
Uttam Pashu Puraskar Yojana,Himachal Pradesh,"The scheme “Uttam Pashu Puraskar Yojana” was launched by the Department of Animal Husbandry, Government of Himachal Pradesh to provide incentives and encouragement to livestock Owners for rearing good quality high yielding animals.","['Buffaloes', 'Cash Prize', 'Cattle', 'Livestock', 'Milk']"
Community Canning & Training On Fruit Preservation,Assam,"The office of the Deputy Director of Agriculture (Fruit Preservation) Assam was
created in 1978, under the Directorate of Agriculture and in 2008 it was transferred to the Directorate of Horticulture and Food Processing.","['Community Canning', 'Fruit Preservation', 'Training']"
Pratibha Kiran Scholarship,Madhya Pradesh,"Pratibha Kiran Scholarship has been launched by the Government of Madhya Pradesh. Through this scheme, scholarship will be provided every year to girl students living below the poverty line.","['BPL Girl Student', 'FINANCIAL ASSISTANCE', 'HIGHER EDUCATION', 'SCHOLARSHIP']"
Gatidhara Scheme,West Bengal,"The scheme “Gatidhara Scheme” was launched by the Transport Department, Government of West Bengal in August 2014 for employment of registered unemployed youth of the State in the transport sector.","['Commercial Vehicle', 'Subsidy', 'Transport Service', 'Unemployed', 'Youth']"
Subsidy Scheme On Establishment Of - 25 Kadaknath/R.I.R. Birds Unit To Scheduled Tribes,Gujarat,"The scheme “Subsidy Scheme on Establishment of - 25 Kadaknath/R.I.R. Birds Unit to Scheduled Tribes” was launched by the Dept. of Agriculture, Farmers Welfare & Co-operation, Govt. of Gujarat to provide employment, nutritious diet and to raise the income of Scheduled Tribe People of Gujarat State.","['Financial Assistance', 'Kadaknath', 'Poultry Farming', 'Rhode Island Red (RIR)', 'Scheduled Tribe', 'Subsidy']"
