name,description,tags,combined_text
Coffee Development Programme in North Eastern Region: Quality Upgradation / Certification: Support for Eco-Certification / Organic Certification,The scheme aims to encourage coffee growers to improve quality for higher returns and improve access to high-value specialty markets through the production of eco-certified coffees. It also encourages small growers to form groups/collectives to take up eco-certification.,"['Agriculture', 'DBT', 'Farmer', 'Subsidy']",coffee development programme in north eastern region quality upgradation certification support for ecocertification organic certification the scheme aims to encourage coffee growers to improve quality for higher returns and improve access to highvalue specialty markets through the production of ecocertified coffees it also encourages small growers to form groupscollectives to take up ecocertification agriculture dbt farmer subsidy
NSAP - Indira Gandhi National Old Age Pension Scheme,"""Indira Gandhi National Old Age Pension Scheme"" is one of the five sub-schemes of the National Social Assistance Programme. Under IGNOAPS, citizens living Below Poverty Line and 60 years or above in age are eligible to apply. A monthly pension of ₹ 200 up to 79 years and ₹ 500 thereafter.","['BPL', 'Pension', 'Senior Citizen', 'Social Welfare']",nsap indira gandhi national old age pension scheme indira gandhi national old age pension scheme is one of the five subschemes of the national social assistance programme under ignoaps citizens living below poverty line and 60 years or above in age are eligible to apply a monthly pension of 200 up to 79 years and 500 thereafter bpl pension senior citizen social welfare
Shram Kalyan Shaikshanik Chatravriti Yojana,Madhya Pradesh State Government started a scheme for the education of working labourers.,"['Financial Assistance', 'Higher Education', 'Student Finance']",shram kalyan shaikshanik chatravriti yojana madhya pradesh state government started a scheme for the education of working labourers financial assistance higher education student finance
Jai Johar (Old Age Pension) Scheme,"“Jai Johar (Old Age Pension)” is a Social Security Scheme by the Tribal Development Dept, Govt of West Bengal. The scheme is aimed at the ST residents of West Bengal of the age of 60 years and above. A monthly pension of ₹ 1,000/- is transferred to the individual bank account of the beneficiary.","['Financial Assistance', 'Pension', 'Scheduled Tribe', 'Senior Citizen', 'Social Welfare']",jai johar old age pension scheme jai johar old age pension is a social security scheme by the tribal development dept govt of west bengal the scheme is aimed at the st residents of west bengal of the age of 60 years and above a monthly pension of 1000 is transferred to the individual bank account of the beneficiary financial assistance pension scheduled tribe senior citizen social welfare
Innovation In Science Pursuit For Inspired Research (INSPIRE) - Faculty Fellowship,"The ""INSPIRE FACULTY FELLOWSHIP"" component provides opportunities to 100 persons every year with Ph.D. qualifications in the age group of 27-32 years for 5 years to carry out research in both basic and applied science areas including engineering, medicine, agriculture, and veterinary sciences.","['Faculty', 'Fellowship', 'PhD', 'Research', 'Science']",innovation in science pursuit for inspired research inspire faculty fellowship the inspire faculty fellowship component provides opportunities to 100 persons every year with phd qualifications in the age group of 2732 years for 5 years to carry out research in both basic and applied science areas including engineering medicine agriculture and veterinary sciences faculty fellowship phd research science
"""Subsidy for the Purchase of Fiber-reinforced Plastic Cattamaran/ Vallam/ Wooden Nava/ Marine Plywood Canoe With Nets"" under ""Financial Assistance for Availing Subsidy Components for the Development of Marine Fisheries""","The scheme ""Subsidy for the Purchase of Fiber-reinforced Plastic Cattamaran/ Vallam/ Wooden Nava/ Marine Plywood Canoe With Nets"" is introduced to increase marine fish production by extending subsidies to the fishermen for the procurement of fiber-reinforced plastic vallam with nets.","['Boat', 'Financial Assistance', 'Fisherman', 'Procurement', 'Subsidy']",subsidy for the purchase of fiberreinforced plastic cattamaran vallam wooden nava marine plywood canoe with nets under financial assistance for availing subsidy components for the development of marine fisheries the scheme subsidy for the purchase of fiberreinforced plastic cattamaran vallam wooden nava marine plywood canoe with nets is introduced to increase marine fish production by extending subsidies to the fishermen for the procurement of fiberreinforced plastic vallam with nets boat financial assistance fisherman procurement subsidy
Goa Village & Municipal Child Committee Grants And Awards Scheme,"GVMCCGS awards the Panchayats / Municipal Local Bodies to discuss and resolve the issues relating to children. The winner is awarded an annual financial grant of ₹ 10,000/- towards administrative expenses incurred on organizing the activities of the Committee.","['Award', 'Child Rights', 'Municipal', 'Panchayat', 'Village']",goa village municipal child committee grants and awards scheme gvmccgs awards the panchayats municipal local bodies to discuss and resolve the issues relating to children the winner is awarded an annual financial grant of 10000 towards administrative expenses incurred on organizing the activities of the committee award child rights municipal panchayat village
Junior Research Fellowship,"The Department of Biotechnology, Ministry of Science & Technology, Government of India provides fellowships for pursuing research in biotechnology and life-sciences through the ""DBT-Junior Research Fellowship"" (DBT-JRF) Programme.","['Financial Assistance', 'Lecturer', 'Professor', 'Research Scientist']",junior research fellowship the department of biotechnology ministry of science technology government of india provides fellowships for pursuing research in biotechnology and lifesciences through the dbtjunior research fellowship dbtjrf programme financial assistance lecturer professor research scientist
Indira Gandhi National Old Age Pension Scheme - Sikkim,"The scheme “Indira Gandhi National Old Age Pension Scheme (IGNOAPS)” was started by the Department of Women & Child Welfare, Govt. of Sikkim in 2014. Under this scheme, a pension is provided to elderly citizens above the age of 60 years belonging to the Below Poverty Line (BPL) category.","['Below Poverty Line', 'Direct Benefit Transfer', 'Old Age', 'Pension']",indira gandhi national old age pension scheme sikkim the scheme indira gandhi national old age pension scheme ignoaps was started by the department of women child welfare govt of sikkim in 2014 under this scheme a pension is provided to elderly citizens above the age of 60 years belonging to the below poverty line bpl category below poverty line direct benefit transfer old age pension
Mukhyamantri Mahila Utkarsh Yojana,Mukhyamantri Mahila Utkarsh Yojana is a scheme launched by the Government of Gujarat to empower women in the state. The scheme aims to provide financial assistance to women entrepreneurs and to promote their entrepreneurial spirit.,"['Mahila', 'Mukhyamantri', 'Utkarsh Yojana']",mukhyamantri mahila utkarsh yojana mukhyamantri mahila utkarsh yojana is a scheme launched by the government of gujarat to empower women in the state the scheme aims to provide financial assistance to women entrepreneurs and to promote their entrepreneurial spirit mahila mukhyamantri utkarsh yojana
ASEAN-India Research Training Fellowship,"The “ASEAN-India Research Training Fellowship (AI-RTF)” is a fellowship scheme initiated by the Department of Science & Technology, Government of India under ASEAN-India Science & Technology Development Fund to support young talented researchers/scientists of ASEAN member countries.","['ASEAN', 'Fellowship', 'FICCI', 'Innovation', 'Research', 'Science', 'Technology']",aseanindia research training fellowship the aseanindia research training fellowship airtf is a fellowship scheme initiated by the department of science technology government of india under aseanindia science technology development fund to support young talented researchersscientists of asean member countries asean fellowship ficci innovation research science technology
Promotion of Energy Audit and Conservation of Energy (PEACE): Incentive for Implementing Energy Audit Recommendations,"The ""Incentive for lmplementing Energy Audit Recommendations"" component of this scheme is introduced to incentivise MSMEs to implement the recommendations of the Energy Audit Report and to optimize energy consumption leading to energy saving and money savings in electricity bills.","['Audit', 'Business', 'Energy', 'Enterprise', 'MSME']",promotion of energy audit and conservation of energy peace incentive for implementing energy audit recommendations the incentive for lmplementing energy audit recommendations component of this scheme is introduced to incentivise msmes to implement the recommendations of the energy audit report and to optimize energy consumption leading to energy saving and money savings in electricity bills audit business energy enterprise msme
Scholarships to Students with Disabilities Scheme,"The objective of the scheme is to assist students with disabilities to secure education, academic, technical, or professional training to enable them to earn a living and to become useful members of society.","['Disability', 'PwD', 'Scholarship', 'Student']",scholarships to students with disabilities scheme the objective of the scheme is to assist students with disabilities to secure education academic technical or professional training to enable them to earn a living and to become useful members of society disability pwd scholarship student
Grant of Financial Assistance for Performance of Marriage of Poor Brides Living Below Poverty Line,"This scheme aims to provide financial assistance to poor brides living below the poverty line to meet their marriage expenses. The assistance amount is ₹25,000, and it is granted for the first marriage of the bride. The scheme is implemented through the Department of Women and Child Development.","['Below Poverty Line', 'BPL', 'Bride', 'Financial Asisstance', 'Marriage', 'Poor']",grant of financial assistance for performance of marriage of poor brides living below poverty line this scheme aims to provide financial assistance to poor brides living below the poverty line to meet their marriage expenses the assistance amount is 25000 and it is granted for the first marriage of the bride the scheme is implemented through the department of women and child development below poverty line bpl bride financial asisstance marriage poor
Stipend to Scheduled Caste Trainees in Technical Training Institutions,The objective of the scheme is to provide financial support to Scheduled Tribe candidates/trainees who are undergoing training in the Government Technical Training Institutions of the Union Territory of Puducherry.,"['ITI', 'Scheduled Caste', 'Stipend', 'Trainee']",stipend to scheduled caste trainees in technical training institutions the objective of the scheme is to provide financial support to scheduled tribe candidatestrainees who are undergoing training in the government technical training institutions of the union territory of puducherry iti scheduled caste stipend trainee
Production Linked Incentive Scheme For Automobile And Auto Component Industry,The government of India has launched the scheme “Production Linked Incentive (PLI) Scheme for Automobile and Auto Components Industry” in India to enhance India’s Manufacturing Capabilities for Advanced Automotive Products.,"['Auto Component', 'Automobile', 'Automotive', 'Incentive', 'Industry']",production linked incentive scheme for automobile and auto component industry the government of india has launched the scheme production linked incentive pli scheme for automobile and auto components industry in india to enhance indias manufacturing capabilities for advanced automotive products auto component automobile automotive incentive industry
Asangathit Karmakaar Silai Machine Sahayata Yojana,Asangathit Karmakaar Silai Machine Sahayata Yojana started by the Government of Chhattisgarh in 2012.,"['Business', 'Empowerment', 'Sewing Machine']",asangathit karmakaar silai machine sahayata yojana asangathit karmakaar silai machine sahayata yojana started by the government of chhattisgarh in 2012 business empowerment sewing machine
Financial Assistance to Purchase/Construct New Fishing Craft less than 26 feet for Fishing in Inland Waters of Goa,"The scheme has been introduced to uplift the sizeable community of traditional Fishermen, by providing them financial help in the form of subsidy on the construction/ purchase of Fishing Craft less than 26 feet for fishing in inland waters of Goa. The applications are accepted only in offline mode.","['Financial Assistance', 'Fish', 'Fishermen', 'Subsidy']",financial assistance to purchaseconstruct new fishing craft less than 26 feet for fishing in inland waters of goa the scheme has been introduced to uplift the sizeable community of traditional fishermen by providing them financial help in the form of subsidy on the construction purchase of fishing craft less than 26 feet for fishing in inland waters of goa the applications are accepted only in offline mode financial assistance fish fishermen subsidy
Award of Opportunity Cost to Parents of Scheduled Caste Girl Students,The objective of the scheme is to financially assist the SC parents for sending school their daughters who otherwise earn livelihood for the family engaging themselves in menial labour.,"['Girl', 'Opportunity Cost', 'Parents', 'Scheduled Cast', 'Student']",award of opportunity cost to parents of scheduled caste girl students the objective of the scheme is to financially assist the sc parents for sending school their daughters who otherwise earn livelihood for the family engaging themselves in menial labour girl opportunity cost parents scheduled cast student
Stipend Scheme For Poultry Farming Training For Weaker Section,"The scheme “Stipend Scheme for Poultry Farming Training for Weaker Section” was launched by the Department of Agriculture, Farmers Welfare & Co-operation, Government of Gujarat to raise the income of poultry farmers by scientific poultry farming training.","['Cash Assistance', 'Poultry Farming', 'Stipend', 'Training', 'Weaker Section']",stipend scheme for poultry farming training for weaker section the scheme stipend scheme for poultry farming training for weaker section was launched by the department of agriculture farmers welfare cooperation government of gujarat to raise the income of poultry farmers by scientific poultry farming training cash assistance poultry farming stipend training weaker section
Merit Based Award and Recognition Of High Performance In The Board Exams Of SSC And HSSC In The State Of Goa,The objective of this scheme is to motivate students by giving Merit Based Award on the benchmark of performance and to provide financial incentives to high-performing students who are economically weak. The scheme aims to increase the representation of the ST Community in the High-Rank Holders.,"['Education', 'Merit', 'Scheduled Tribe', 'School', 'Student']",merit based award and recognition of high performance in the board exams of ssc and hssc in the state of goa the objective of this scheme is to motivate students by giving merit based award on the benchmark of performance and to provide financial incentives to highperforming students who are economically weak the scheme aims to increase the representation of the st community in the highrank holders education merit scheduled tribe school student
Fee Waiver Scheme For SC/ST Students Pursuing Higher Education,"""Fee Waiver Scheme for SC/ST Students Pursuing Higher Education"" provides free access to every SC/ST student, to the institutions of higher learning so that that no eligible SC/ST students are deprived of higher education for want of resources.","['Education', 'Scheduled Caste', 'Scheduled Tribe', 'Scholarship', 'Student']",fee waiver scheme for scst students pursuing higher education fee waiver scheme for scst students pursuing higher education provides free access to every scst student to the institutions of higher learning so that that no eligible scst students are deprived of higher education for want of resources education scheduled caste scheduled tribe scholarship student
Advocate Grant,"The Scheme “Advocate Grant” was launched by the Backward Classes Development Department, Government of Kerala during the year 2012-13. Under the scheme, the grant will be provided to law graduates belonging to backward classes facing financial difficulties for starting practice as advocates.","['Advocate', 'Grant', 'Law Graduate', 'OBC']",advocate grant the scheme advocate grant was launched by the backward classes development department government of kerala during the year 201213 under the scheme the grant will be provided to law graduates belonging to backward classes facing financial difficulties for starting practice as advocates advocate grant law graduate obc
Biotechnology Ignition Grant Scheme,The “Biotechnology Ignition Grant Scheme (BIG)” is a flagship scheme of BIRAC which recognizes and invests in innovative ideas in the biotech sector. BIG scheme supports individual entrepreneurs/ start-ups from ideation to Proof of Concept.,"['BIG', 'Biotechnology', 'BIRAC', 'Entrepreneur', 'Ignition Grant', 'Start-up']",biotechnology ignition grant scheme the biotechnology ignition grant scheme big is a flagship scheme of birac which recognizes and invests in innovative ideas in the biotech sector big scheme supports individual entrepreneurs startups from ideation to proof of concept big biotechnology birac entrepreneur ignition grant startup
Asangathit Karmakar Samachar-Patr Hawker Cycle Sahayata Yojana,"Chhattisgarh State Government started a scheme ""Asangathit Karmakar Samachar-Patr Hawker Cycle Sahayata Yojana"" for unorganized worker on 10 September 2012.","['Empowerment', 'Free Cycle', 'Vehicle']",asangathit karmakar samacharpatr hawker cycle sahayata yojana chhattisgarh state government started a scheme asangathit karmakar samacharpatr hawker cycle sahayata yojana for unorganized worker on 10 september 2012 empowerment free cycle vehicle
Aamar Dukan On Wheels,The Assam Government proposes to introduce a new module of “Aamar Dukan” namely “AAMAR DUKAN ON WHEELS” in the same line as the existing ‘Aamar Dukan’ on 22.02.2017.,"['Aamar Dukan', 'Business', 'Startup', 'Wheels']",aamar dukan on wheels the assam government proposes to introduce a new module of aamar dukan namely aamar dukan on wheels in the same line as the existing aamar dukan on 22022017 aamar dukan business startup wheels
KULAVILAKKU,This scheme aims to enhance the nutritional status of Pregnant Women. ₹500/- assistance is provided to eligible beneficiaries during their pregnancies. The scheme is a crucial step towards ensuring the well-being of both mother and child. The benefit will be provided for upto two pregnancies only.,"['Financial Assistance', 'Hospital', 'Infant', 'Pregnant', 'Woman']",kulavilakku this scheme aims to enhance the nutritional status of pregnant women 500 assistance is provided to eligible beneficiaries during their pregnancies the scheme is a crucial step towards ensuring the wellbeing of both mother and child the benefit will be provided for upto two pregnancies only financial assistance hospital infant pregnant woman
